A  	Element	Z  	N  	Energy  	JPi           	Mass Exc  	Unc  	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
1  	H      	1  	0  	0.0000  	1/2+          	7.28890000	10   	STABLE                   	infinity                 	99.9885%  	70      	        	            
2  	H      	1  	1  	0.0000  	1+            	**********	15   	STABLE                   	infinity                 	0.0115%   	70      	        	            
3  	He     	2  	1  	0.0000  	1/2+          	14.9312000	23   	STABLE                   	infinity                 	0.000134% 	3       	        	            
4  	He     	2  	2  	0.0000  	0+            	2.42490000	6    	STABLE                   	infinity                 	99.999866%	3       	        	            
6  	Li     	3  	3  	0.0000  	1+            	14.0868000	15   	STABLE                   	infinity                 	7.59%     	4       	        	            
7  	Li     	3  	4  	0.0000  	3/2-          	14.907000 	4    	STABLE                   	infinity                 	92.41%    	4       	        	            
9  	Be     	4  	5  	0.0000  	3/2-          	11.34840  	8    	STABLE                   	infinity                 	100.%     	        	        	            
10 	B      	5  	5  	0.0000  	3+            	12.0507   	4    	STABLE                   	infinity                 	19.9%     	7       	        	            
11 	B      	5  	6  	0.0000  	3/2-          	8.6679    	4    	STABLE                   	infinity                 	80.1%     	7       	        	            
12 	C      	6  	6  	0.0000  	0+            	0         	     	STABLE                   	infinity                 	98.93%    	8       	        	            
13 	C      	6  	7  	0.0000  	1/2-          	3.12500000	21   	STABLE                   	infinity                 	1.07%     	8       	        	            
14 	N      	7  	7  	0.0000  	1+            	2.86340000	19   	STABLE                   	infinity                 	99.636%   	20      	        	            
15 	N      	7  	8  	0.0000  	1/2-          	0.1014000 	6    	STABLE                   	infinity                 	0.364%    	20      	        	            
16 	O      	8  	8  	0.0000  	0+            	**********	16   	STABLE                   	infinity                 	99.757%   	16      	        	            
17 	O      	8  	9  	0.0000  	5/2+          	-0.8087000	6    	STABLE                   	infinity                 	0.038%    	1       	        	            
18 	O      	8  	10 	0.0000  	0+            	-0.7828000	7    	STABLE                   	infinity                 	0.205%    	14      	        	            
19 	F      	9  	10 	0.0000  	1/2+          	-1.4874000	9    	STABLE                   	infinity                 	100%      	        	        	            
